,Age,Years_of_Experience,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Automation_Exposure_Index,Human_Creative_Protection_Index,AI_Intensity_Index,AI_Adoption_Score,Job_Level_Score,Education_Score,Layoff_Risk_Score
Age,1.0,0.38516022046697884,0.00020623971396190643,0.00028439726532350864,0.0022991645869495187,0.004009347284575861,0.004066641867137305,-0.002391737110817982,-0.0037422983198038785,0.0011030528831520755,0.0007683811363492593,0.003663515260602248,0.004125941746870516,-0.0035611908373501667,0.001536324303384137,-0.0369792730878467
Years_of_Experience,0.38516022046697884,1.0,-0.005583900552721245,0.00791985265422659,0.014770839955589659,-0.007543483925285069,-0.006778066522519368,-0.006354578388572566,-0.0065432075048015275,-0.006170331716846753,0.015276075820436417,-0.008356119642420848,-0.005390639219995524,-0.008243920702356631,0.001518267705432407,-0.10055187118665072
Routine_Task_Percentage,0.00020623971396190643,-0.005583900552721245,1.0,-0.9314863268157478,-0.016725437167573586,0.6876038604400884,0.7136933310408334,0.9097159505269792,0.6621309025738283,0.9614676748831817,-0.7083758337879251,0.7232008851207119,0.8090286737877529,-0.0017490374079574946,0.0043715034272627275,0.7812004196428559
Creativity_Requirement,0.00028439726532350864,0.00791985265422659,-0.9314863268157478,1.0,0.01613633331273541,-0.6484156680510673,-0.6701032966138722,-0.8507238015323136,-0.6204520954458195,-0.8984907303940761,0.7596379448017904,-0.6807052844146443,-0.7606179758521646,0.0037938808863550617,-0.0024251113235793133,-0.7595048625517187
Human_Interaction_Level,0.0022991645869495187,0.014770839955589659,-0.016725437167573586,0.01613633331273541,1.0,-0.005429488100639527,-0.015371497531808605,-0.011271751045748048,-0.0059937105563368145,-0.013181071517754269,0.6450508984110547,-0.009492462789014947,-0.014504047539373186,0.0023547788544433365,-0.0034314702949603676,-0.1597873342954114
Number_of_AI_Tools_Used,0.004009347284575861,-0.007543483925285069,0.6876038604400884,-0.6484156680510673,-0.005429488100639527,1.0,0.7441469559969589,0.6197437071001344,0.6919169201420217,0.8209416521116029,-0.48770382192762884,0.9478636541076056,0.8453895041303058,-0.0003157877925029867,-0.005275760276912479,0.5288542005381637
AI_Usage_Hours_Per_Week,0.004066641867137305,-0.006778066522519368,0.7136933310408334,-0.6701032966138722,-0.015371497531808605,0.7441469559969589,1.0,0.6425602435581569,0.7202574139623363,0.781630540765321,-0.5103606023761031,0.9056972156087212,0.8796867574061413,-0.004278657746258524,0.005030935235824354,0.5472132895582486
Tasks_Automated_Percentage,-0.002391737110817982,-0.006354578388572566,0.9097159505269792,-0.8507238015323136,-0.011271751045748048,0.6197437071001344,0.6425602435581569,1.0,0.5943473222089845,0.9231959789045152,-0.6448309174986029,0.6518736528682091,0.7286244450845007,-0.0054869764380840146,0.0027124695119022067,0.7652068789351519
AI_Training_Hours,-0.0037422983198038785,-0.0065432075048015275,0.6621309025738283,-0.6204520954458195,-0.0059937105563368145,0.6919169201420217,0.7202574139623363,0.5943473222089845,1.0,0.7253079815973286,-0.46670586609981257,0.7274027546281758,0.8174962556573624,-0.0030710507963336233,0.006157610063834101,0.4957523621576923
Automation_Exposure_Index,0.0011030528831520755,-0.006170331716846753,0.9614676748831817,-0.8984907303940761,-0.013181071517754269,0.8209416521116029,0.781630540765321,0.9231959789045152,0.7253079815973286,1.0,-0.6811330467701262,0.8383033811506121,0.8864187906907975,-0.0027416419889612085,0.0018846353251199776,0.7602342206687639
Human_Creative_Protection_Index,0.0007683811363492593,0.015276075820436417,-0.7083758337879251,0.7596379448017904,0.6450508984110547,-0.48770382192762884,-0.5103606023761031,-0.6448309174986029,-0.46670586609981257,-0.6811330467701262,1.0,-0.5143473859090187,-0.5778004000785049,0.0025855930527034342,-0.004393352817626775,-0.6773122317252007
AI_Intensity_Index,0.003663515260602248,-0.008356119642420848,0.7232008851207119,-0.6807052844146443,-0.009492462789014947,0.9478636541076056,0.9056972156087212,0.6518736528682091,0.7274027546281758,0.8383033811506121,-0.5143473859090187,1.0,0.8884404954165435,-0.001664083235490188,-0.0009754484825804108,0.5556691518169639
AI_Adoption_Score,0.004125941746870516,-0.005390639219995524,0.8090286737877529,-0.7606179758521646,-0.014504047539373186,0.8453895041303058,0.8796867574061413,0.7286244450845007,0.8174962556573624,0.8864187906907975,-0.5778004000785049,0.8884404954165435,1.0,-0.0036990334799395026,-0.0004607917620995034,0.6219502846248338
Job_Level_Score,-0.0035611908373501667,-0.008243920702356631,-0.0017490374079574946,0.0037938808863550617,0.0023547788544433365,-0.0003157877925029867,-0.004278657746258524,-0.0054869764380840146,-0.0030710507963336233,-0.0027416419889612085,0.0025855930527034342,-0.001664083235490188,-0.0036990334799395026,1.0,-0.007732629271374435,-0.2740971204058055
Education_Score,0.001536324303384137,0.001518267705432407,0.0043715034272627275,-0.0024251113235793133,-0.0034314702949603676,-0.005275760276912479,0.005030935235824354,0.0027124695119022067,0.006157610063834101,0.0018846353251199776,-0.004393352817626775,-0.0009754484825804108,-0.0004607917620995034,-0.007732629271374435,1.0,-0.17043257838263057
Layoff_Risk_Score,-0.0369792730878467,-0.10055187118665072,0.7812004196428559,-0.7595048625517187,-0.1597873342954114,0.5288542005381637,0.5472132895582486,0.7652068789351519,0.4957523621576923,0.7602342206687639,-0.6773122317252007,0.5556691518169639,0.6219502846248338,-0.2740971204058055,-0.17043257838263057,1.0
