feature,mean_abs_shap,mean_shap
Routine_Task_Percentage,2.3141706798756436,-0.013395820201837407
Tasks_Automated_Percentage,2.1911912935755216,-0.06346346016749727
Job_Level_Score,1.6664626992592122,0.03472883038463079
Human_Creative_Protection_Index,1.5015328843663915,0.0013002692851424354
Education_Score,0.9922864557542507,-0.004547961266585334
Years_of_Experience,0.9053221369622241,-0.009487109145411217
Creativity_Requirement,0.7325872226029067,0.022833686629891166
Industry_Education,0.4969376955403717,-0.031139542904249227
Industry_Manufacturing,0.47990062434117864,-0.0008208998399791785
Industry_Healthcare,0.4739743173795878,-0.009258219535208369
Industry_Retail,0.3266382188498121,0.01249582830782865
Industry_IT,0.267428390124565,0.007093212064977475
AI_Training_Hours,0.23005999663566448,0.03278925532108208
Automation_Exposure_Index,0.21864099639364687,-9.155917252302302e-05
Industry_Logistics,0.17382215237745705,-0.010671072214317831
Education_Level_High School,0.1488064661253423,0.00011149654018476762
Human_Interaction_Level,0.1324286494796936,-0.008326931038753305
Job_Level_Entry,0.12827588166469264,0.005706396647484431
Industry_Finance,0.0673131686907978,-0.014429233227779599
Job_Level_Senior,0.06502408894595181,0.0018684700863113109
Industry_Telecom,0.037156604662587626,0.00392284144913171
Job_Level_Mid,0.03656857570166139,-0.014542137885324774
AI_Usage_Hours_Per_Week,0.03348085832172417,0.0018637907420595257
AI_Intensity_Index,0.03346917276480272,-0.006535123127989654
Age,0.03169657731801181,-0.0005586992080546255
Experience_Band_0-3,0.029054914870730118,-0.0018014783455247002
Company_Size_Medium,0.02513491115051972,-0.0003517961809910767
Number_of_AI_Tools_Used,0.023029680577784508,-0.005834397705360921
Job_Role_Nurse,0.014791143428747568,0.0016418146938902514
Education_Level_PhD,0.01345080416766361,-0.0011195455636884902
Job_Role_Sales Associate,0.013135058758096549,0.0008130158294580561
Experience_Band_15+,0.01311835869716808,0.0003521550690045948
Company_Size_Score,0.012818444396663319,0.0005944133517409988
Age_Band_41-50,0.0112087097207295,0.0006626233454054815
Job_Role_Operator,0.010835630119996777,6.0223012971940446e-05
Job_Role_Academic Coordinator,0.009377684097761551,-0.0006057890083590867
Education_Level_Bachelor's,0.00931053120526632,-0.0010991522466615806
Experience_Band_8-15,0.008894708118874517,-0.0006135069036854546
Job_Role_Research Assistant,0.007825886307766488,-0.0014268600499125793
Education_Level_Master's,0.00772172778450943,-0.0020139207984166147
Job_Role_Data Analyst,0.0069556036617238436,-0.00038955258835237587
Job_Role_Warehouse Manager,0.006935286886549528,-7.7338539147815e-05
Experience_Band_4-7,0.006617403847879322,0.00015303586078181097
Job_Role_Auditor,0.005555461987729701,-0.0009410437280138812
Job_Role_Health Analyst,0.0052004648728762,0.00026007205753598186
Job_Role_Software Engineer,0.004933259564409,0.0005285813037513081
Job_Role_Production Supervisor,0.004506969577225265,-0.000485661352298575
Job_Role_Inventory Analyst,0.0037072623955137565,-0.0003125060506916963
Age_Band_31-40,0.003578891118243711,-0.00021250014115911257
Job_Role_Operations Analyst,0.0035162118610394784,0.0003093565646152596
Job_Role_Teacher,0.0031482656985550557,0.00021755138497128358
Job_Role_Network Engineer,0.0028891219496574457,0.00035411474605076185
Job_Role_Supply Chain Analyst,0.0023662007926760578,-7.368442632727835e-05
Job_Role_Financial Analyst,0.00228880993491794,0.00032565729603542916
Job_Role_Store Manager,0.0020556388421752265,-9.869188334662395e-05
Job_Role_Support Specialist,0.0016204140817885748,7.949917127098443e-05
Job_Role_Accountant,0.0014622611553550306,-0.0001185263299604913
Job_Role_Quality Engineer,0.0013520388623022655,0.00011259329854993236
Job_Role_ML Engineer,0.0012247639807749723,0.00010940793419566781
Job_Role_Medical Assistant,0.001086849715769051,1.7911563674309667e-05
Age_Band_21-30,0.0009559216889705261,-0.00021792257916502055
Company_Size_Small,0.0008315634566082496,2.0379754932478502e-05
Job_Role_Dispatcher,0.0006412634965802019,0.00012490622336770062
AI_Adoption_Score,0.0005208850534636423,0.00026968156047574564
Company_Size_Large,0.00038620675055170124,2.5472272520391354e-05
AI_Adoption_Level_Medium,0.00027921157103881337,4.729478031378594e-05
Age_Band_51-60,0.00023859250200569123,-4.675345716274681e-05
AI_Adoption_Level_Low,0.0,0.0
AI_Adoption_Level_High,0.0,0.0
